fc.0.weight	fc.1.weight	fc.3.weight	fc.6.weight	fc.8.weight	fc.10.weight	fc.12.weight	fc.14.weight
6.88871	0.01613	5.61467	4.8362	4.59848	3.34901	4.07548	0.8876
14.30045	0.02229	6.76106	4.82298	4.22086	3.12405	3.39556	0.69427
8.79511	0.01493	4.56876	3.39427	2.91093	2.07425	2.23315	0.42312
26.37883	0.02895	7.31467	4.03673	3.13628	2.09692	2.23991	0.43088
13.19512	0.0195	6.65862	5.03645	4.66281	3.2916	3.67851	0.7538
16.06612	0.02205	6.25137	4.45725	3.68409	2.49476	2.54575	0.46827
8.59362	0.01635	5.56143	4.53596	4.07348	2.89591	3.0251	0.64535
10.71247	0.01794	6.00506	4.52729	4.04985	2.92064	3.07974	0.73898
9.22757	0.0177	6.07862	5.10809	4.89115	3.64953	3.7572	0.73385
8.57319	0.02103	6.82937	5.94833	5.55074	4.24496	4.67393	0.94486
6.83892	0.01439	4.81739	3.90339	3.41479	2.41786	2.29099	0.44466
13.55795	0.02471	6.75685	4.96116	4.47615	3.38123	3.34276	0.70713
6.51271	0.0132	4.39697	3.54428	3.2051	2.36109	2.22974	0.43163
8.35409	0.01577	5.48771	4.28788	4.10481	3.16976	2.92007	0.64636
5.9831	0.01371	4.63305	4.09706	3.67329	2.53613	2.67163	0.49461
25.30796	0.03005	8.08948	4.17167	2.99003	1.93095	1.67159	0.30106
7.7675	0.0158	5.31291	4.53585	4.49586	3.07399	2.92509	0.61189
7.46531	0.01592	5.11945	4.26483	3.86119	2.90105	3.00338	0.66093
9.32927	0.01701	5.28111	4.33438	3.81277	2.66493	2.72246	0.54281
7.79532	0.01357	4.35857	3.16141	2.7013	1.96785	2.14992	0.44867
7.63464	0.01194	4.7342	3.87848	3.6501	2.94048	3.24184	0.74421
16.03481	0.02215	6.7115	4.47788	3.81526	3.02968	3.54434	0.78996
8.42527	0.01492	5.15246	3.8714	3.32925	2.26782	2.31082	0.43475
9.02486	0.01937	6.74949	5.74809	5.39715	3.89041	4.00151	0.77781
12.49264	0.02258	6.54785	4.8654	4.3963	2.99862	3.482	0.76514
9.23678	0.01836	5.67553	4.36116	3.67922	2.55807	2.64001	0.4665
5.117	0.01421	4.44408	3.71617	3.5361	2.60946	2.95286	0.64523
7.18128	0.01822	5.85647	5.05428	4.85019	3.6344	3.92376	0.83691
6.72171	0.01711	5.35946	4.34493	4.04928	2.82199	2.74219	0.46024
8.25084	0.01836	5.43505	4.19173	3.72554	2.79476	2.89249	0.57443
7.818	0.01361	4.72742	3.83646	3.54963	2.51585	2.62783	0.47241
30.11891	0.04497	10.05396	5.76933	4.72917	3.5172	3.96149	0.79843
14.65522	0.02252	6.60928	4.78104	4.08152	3.02997	3.28734	0.66425
16.79812	0.02572	7.32991	5.15149	4.48176	3.43383	3.51923	0.72319
11.81263	0.02681	7.60679	5.84202	5.32091	3.63926	4.2852	0.86725
7.13135	0.01654	5.41834	4.91517	4.74289	3.50908	3.88676	0.9109
9.89929	0.0221	6.67552	5.75787	5.73531	4.03934	4.7199	1.16717
8.3659	0.01664	5.53083	4.49601	4.29645	3.06395	3.4372	0.72535
9.53305	0.02107	6.46166	5.15876	4.84936	3.38255	3.82464	0.70636
9.95669	0.01997	5.82381	4.54191	4.19552	3.23239	3.14647	0.64126
15.3166	0.02225	6.07226	3.94325	3.22684	2.36096	2.83572	0.71085
6.31406	0.0141	4.66264	3.85234	3.40867	2.45364	2.60065	0.51578
9.61357	0.01743	6.26858	5.65326	5.8596	4.79283	5.3748	1.17402
24.57248	0.03597	8.66327	4.90246	3.98593	2.99309	3.48315	0.73274
5.71487	0.01391	4.61196	4.04078	3.90181	2.78431	2.87325	0.54704
6.066	0.01607	4.94045	4.20719	3.83497	2.7428	2.90325	0.59408
7.24768	0.01634	5.02726	4.22012	4.34121	3.40942	4.36045	0.87432
10.72388	0.01587	4.62381	3.38128	2.99627	2.06662	2.04883	0.40435
10.66422	0.01694	5.95729	4.98781	5.01566	4.01503	4.5993	1.09518
17.69554	0.02469	6.45856	4.1749	3.68024	2.5181	2.84374	0.5995
7.46795	0.01551	5.01317	3.95608	3.65284	2.67624	2.96131	0.65711
21.37623	0.02948	7.81696	5.35547	4.93742	4.03726	4.54579	1.02424
13.46923	0.02161	5.95237	3.94899	3.20159	2.3699	2.40304	0.54684
8.08124	0.01922	6.138	5.57038	5.20979	4.04667	4.39044	0.88728
8.54593	0.01972	5.48887	4.27282	3.86491	2.54382	3.04365	0.57349
7.25196	0.0175	5.61823	4.75686	4.5975	3.54358	3.73702	0.83896
6.13668	0.01594	5.20355	4.67959	4.54477	3.52278	3.75135	0.85027
5.62298	0.01296	4.10899	3.35673	2.86793	1.90468	1.67923	0.23266
5.87005	0.01598	4.66197	3.83622	3.3827	2.35	2.41603	0.4031
8.8305	0.02052	6.2487	5.11419	4.7023	3.63894	4.00069	0.79432
7.53209	0.01866	5.35997	4.47415	4.21901	3.34991	3.74299	0.91323
6.71284	0.01537	4.67889	3.83616	3.68306	2.65522	2.98176	0.72264
7.11461	0.01473	4.56266	3.70496	3.38834	2.5399	2.71941	0.49391
18.31033	0.03032	7.49109	5.35453	4.59515	3.13394	3.40072	0.73332
7.96212	0.01767	5.78435	4.89767	4.89851	3.82198	4.3699	1.00165
7.32175	0.01715	5.07864	4.08744	3.7195	2.70528	3.22466	0.65548
6.16546	0.01607	4.93395	3.93367	3.47346	2.55797	2.79481	0.532
6.59449	0.01742	5.15046	4.46387	4.20829	3.0774	3.18775	0.7388
14.47926	0.02583	6.17942	4.30414	3.68247	2.52835	2.36611	0.47244
8.40885	0.01553	5.14234	4.05282	3.5661	2.74825	2.92644	0.64972
8.1883	0.01911	6.15418	5.69448	5.66755	4.45316	5.41005	1.09778
5.502	0.01481	4.4028	3.83637	3.83683	2.89984	3.29249	0.78098
7.50829	0.01877	5.34203	4.47757	4.18005	3.10941	3.3972	0.6423
5.95327	0.01574	4.82853	4.17071	4.02741	3.18927	3.64022	0.90647
4.7078	0.01132	3.61056	3.03986	2.66389	1.83842	1.89262	0.35361
5.01162	0.01331	4.09266	3.3549	3.03965	2.21968	2.54246	0.49836
6.62792	0.0118	3.8018	2.91744	2.49318	1.87699	2.10554	0.51124
10.5074	0.0207	4.94827	3.54547	3.00263	1.99518	2.10467	0.40051
9.15246	0.02054	5.24698	3.65427	3.05821	2.16231	2.13651	0.3657
19.9061	0.03384	7.38836	4.44946	3.5961	2.82995	2.76193	0.55836
11.24036	0.02096	5.54327	3.81833	3.36515	2.39369	2.34701	0.48254
12.2876	0.02476	6.99565	5.39529	5.10301	4.06932	4.83338	1.1329
8.69942	0.01928	5.65196	4.37344	3.96205	3.12066	3.64202	0.85335
6.39653	0.0141	4.58079	3.98465	3.71086	2.66166	2.75452	0.58012
6.59428	0.01665	4.36444	3.38699	3.22521	2.29041	2.52544	0.59597
9.50721	0.01889	5.52456	4.07246	3.7613	2.99994	3.25574	0.69491
10.03918	0.01817	5.02899	3.90777	3.66209	2.83393	3.42499	0.74209
5.25818	0.01245	4.11137	3.54189	3.49582	2.77387	3.19953	0.72126
5.92153	0.01482	4.72071	4.14296	4.02253	3.0174	3.43567	0.81034
5.01387	0.01372	4.01221	3.42713	3.15837	2.46663	2.61228	0.51767
6.17306	0.0166	5.02114	4.35591	4.06185	2.94618	3.0818	0.63932
18.56516	0.03264	7.41416	5.14761	4.63732	3.27537	3.00137	0.6739
5.57212	0.01306	4.11139	3.4238	2.96557	2.09212	2.03466	0.39954
7.75368	0.01724	4.96973	4.11047	3.84719	2.99778	3.48596	0.76288
6.9023	0.02115	6.0201	5.15553	4.8674	3.93813	4.80686	0.96883
5.6093	0.01352	4.21556	3.49941	3.40782	2.74302	3.24176	0.8223
6.90693	0.02052	5.76999	4.85605	4.68275	3.72537	4.4214	0.97959
6.08508	0.01693	5.06372	4.14715	3.88763	2.95417	3.14094	0.626
6.56755	0.01458	4.65327	3.92354	3.75161	3.23544	3.66647	0.86234
6.10138	0.01479	4.72498	4.09605	3.83143	2.69208	2.9207	0.62769
10.66265	0.02027	5.31482	3.75843	3.58439	2.77539	2.93228	0.69589
28.22666	0.04803	9.46041	5.86031	4.98634	3.2556	2.95372	0.59587
5.9083	0.01511	4.46606	3.75759	3.41208	2.61309	2.68126	0.56805
7.14356	0.02043	5.49195	4.4431	4.19498	3.09902	3.23573	0.80975
6.79746	0.01511	4.43589	3.65253	3.3806	2.53062	2.85601	0.67365
9.67168	0.01662	4.97508	3.60621	3.0622	2.10735	2.04213	0.39608
5.22296	0.01384	4.17039	3.59836	3.57688	2.93812	3.42453	0.72045
4.42318	0.01314	3.94675	3.52113	3.40331	2.45631	2.62703	0.59307
5.68953	0.01691	4.89687	4.24176	4.25219	3.16043	3.38779	0.7276
11.20709	0.02063	5.76558	4.36043	3.87604	2.86211	3.02	0.68654
6.05446	0.0152	4.62619	3.93473	3.70944	2.63643	2.89654	0.5665
6.60352	0.01965	5.47672	5.10655	5.21852	4.38338	4.88814	1.25152
6.40477	0.01647	4.85683	4.31384	4.49825	3.72936	4.73284	1.22293
8.94128	0.02027	5.77187	4.49373	3.9155	2.81897	3.04145	0.61989
5.47853	0.01496	4.53161	3.98119	3.82688	3.02639	3.49105	0.69515
7.787	0.02071	6.07792	5.38714	5.74564	4.88514	5.6603	1.19644
15.85255	0.03356	8.60937	6.66079	6.65347	5.18753	6.21967	1.55137
6.76016	0.01775	5.36524	4.823	4.89335	4.06691	4.6533	1.15196
5.82228	0.01567	4.35636	3.84077	3.88988	2.96437	3.6035	0.74719
5.42175	0.01666	4.68402	4.19956	4.13873	3.18722	3.65828	0.73391
4.67845	0.01074	3.40697	2.77626	2.52236	1.75366	1.8029	0.37485
14.99924	0.02365	5.58761	3.45022	2.65548	1.97053	2.17228	0.44781
4.8868	0.01227	3.76062	3.30551	3.22097	2.56116	2.9861	0.77026
5.08275	0.01587	4.35005	3.62706	3.56071	2.84332	3.36733	0.83797
4.93596	0.0114	3.53602	2.84218	2.619	2.02994	2.27752	0.51921
4.93313	0.01115	3.67933	3.2337	3.04501	2.25926	2.45822	0.62381
4.59363	0.01352	4.04765	3.66619	3.76323	2.98349	3.71859	0.94131
4.02991	0.01348	3.60439	3.05005	2.91476	2.3208	2.65816	0.59958
5.26709	0.01227	3.81706	3.26717	3.16953	2.34589	2.50195	0.59062
4.31182	0.01094	3.47447	3.09023	2.94103	2.24865	2.51998	0.48112
4.64844	0.01224	3.75708	3.23051	3.01237	2.2797	2.42217	0.5219
5.39337	0.01338	3.95378	3.31691	3.10635	2.35845	2.75671	0.56339
24.05054	0.04245	8.75361	5.13218	4.58629	3.55059	3.53616	0.89844
6.09445	0.01674	4.68807	4.1481	4.28334	3.49711	3.9392	0.98324
7.69017	0.02233	5.78291	5.10856	5.42518	4.3461	4.48629	0.98265
6.87818	0.01859	5.18081	4.32566	4.1246	3.38045	3.5181	0.82695
7.17519	0.01817	5.93501	5.66164	5.64977	4.33245	5.23282	1.1521
7.16436	0.01941	5.86214	5.37145	5.13848	4.10321	4.40929	0.97226
7.82759	0.01925	5.57023	4.73678	4.89224	3.91229	4.84989	0.96649
8.14962	0.02426	7.2138	6.37326	6.48382	5.59726	7.23562	1.70485
7.75707	0.01981	6.03867	5.30014	5.20817	3.86846	4.51539	1.15976
11.15466	0.02325	6.18337	4.96426	4.88358	3.63813	3.77964	0.88625
6.52421	0.02027	5.54286	4.85231	4.91695	3.53165	4.07688	0.85345
7.05691	0.01954	5.58362	4.96056	5.08581	3.80882	4.68858	1.0546
4.82978	0.01274	3.72759	3.1319	2.98568	2.27032	2.24671	0.42895
4.83104	0.01318	3.64959	2.97408	2.7942	2.01768	2.10003	0.42687
7.95687	0.01795	4.77335	3.65034	3.50076	2.73934	2.90145	0.66853
9.83432	0.02924	7.24926	5.69506	5.34273	3.89809	3.92856	0.74486
13.09161	0.02459	6.18349	4.25939	3.98478	2.9576	3.45421	0.82013
5.78536	0.01663	4.81676	4.22279	4.07533	3.23269	3.54664	0.83611
4.61932	0.01258	3.79611	3.42285	3.36876	2.72031	2.83231	0.61685
4.88465	0.01525	4.22144	3.58528	3.61264	3.01165	3.32474	0.74427
4.54405	0.01208	3.82231	3.43925	3.60594	2.82756	3.23648	0.76462
5.57377	0.01584	4.55177	3.98796	4.09269	3.20795	3.4987	0.8746
5.19188	0.01369	3.83993	3.28629	3.12334	2.41035	2.61781	0.58092
9.33521	0.0182	4.84998	3.83283	3.74415	2.7611	3.10543	0.67366
5.12009	0.01415	3.84451	3.17522	3.09297	2.35422	2.47893	0.53109
11.1046	0.02147	4.84155	3.58044	3.27178	2.55699	3.10863	0.78897
4.93675	0.01488	4.21189	3.84253	4.03607	3.31639	3.8863	0.92709
8.60882	0.01882	4.96714	3.90635	3.74827	2.88505	2.97955	0.65536
6.75663	0.01685	4.86617	4.01753	3.60936	2.76333	2.59269	0.46538
6.61859	0.01721	4.97865	4.12932	3.93613	3.02287	3.38068	0.76482
7.48425	0.01858	4.84131	3.6803	3.376	2.4312	2.3667	0.51627
5.188	0.01321	3.99269	3.48711	3.17238	2.36783	2.38438	0.51103
15.14995	0.03544	6.99382	4.3835	3.80024	2.61136	2.61517	0.57709
5.09565	0.0132	4.09291	3.5619	3.55668	2.67019	2.82398	0.61525
12.26298	0.02507	5.25587	3.91818	3.59747	2.79275	3.43955	0.82579
5.28027	0.01635	4.4662	3.84954	3.79962	2.94482	3.36489	0.87264
17.46964	0.03583	7.2402	5.22541	4.83668	3.74905	4.5618	1.1947
5.68603	0.01625	4.56953	3.9424	3.69139	2.98094	3.12094	0.80983
5.77258	0.01561	4.66671	4.22027	4.33005	3.50908	4.21428	1.03887
12.8257	0.02799	6.4137	4.91111	4.91762	4.19985	4.49612	1.02171
7.21755	0.01699	4.79504	3.83971	3.63768	2.99085	3.3885	0.87415
11.93438	0.02786	7.39008	6.04645	6.04812	4.82426	5.56414	1.36582
5.95078	0.01707	4.82955	4.47736	4.5142	3.47418	3.76732	0.83166
6.57502	0.02066	5.83674	5.52232	5.19077	4.09307	4.71983	1.08712
6.5419	0.01491	3.93674	2.93957	2.46723	1.88414	2.12257	0.45896
7.08523	0.01517	4.85523	4.39571	4.28741	3.54052	4.30102	0.94827
19.60437	0.03434	6.16799	3.95086	3.28888	2.5634	2.85327	0.60538
6.0944	0.01722	4.45795	3.6288	3.33193	2.5131	2.83257	0.54049
5.58244	0.01672	4.57605	3.95235	3.75878	3.08548	3.43516	0.75263
