fc.0.weight	fc.2.weight	fc.4.weight	fc.6.weight	fc.8.weight	fc.10.weight	fc.12.weight
0.45729	2.63819	2.63531	3.98334	5.32921	7.18882	7.30923
0.64453	3.46995	3.17906	4.6511	5.4317	7.4083	7.33465
0.54506	2.74075	2.44628	3.95753	5.06692	7.3262	7.43238
0.30126	1.81568	1.77746	2.95147	4.46131	6.96372	7.19876
0.67486	3.71149	3.2889	4.54042	5.24709	6.97615	7.16191
0.66994	3.32119	3.00072	4.56972	5.68584	7.15611	7.04691
0.53853	2.79322	2.6679	4.20301	5.59445	7.41177	7.19356
0.38553	2.11227	1.96457	3.13239	4.48363	6.50555	7.04699
0.51942	3.29219	2.96278	4.31329	5.26085	6.87773	6.99292
0.54632	3.16524	2.78424	4.07829	5.01186	6.72629	7.00754
0.49346	2.82989	2.66426	4.01262	5.24773	7.57775	7.28758
0.71538	4.01336	3.76432	5.43645	6.13172	7.30688	7.13342
0.53878	3.49525	3.12488	4.66799	5.77811	7.45479	7.39687
0.46354	2.27802	2.14155	3.65309	4.9275	7.0561	7.02802
0.52458	3.26428	2.95006	4.36954	5.15431	6.88054	6.99451
0.73028	4.20368	3.56484	5.21545	5.89434	7.29875	7.23138
0.61135	3.23406	2.89715	4.45531	5.70224	7.62811	7.38736
0.56475	2.93116	2.64215	4.12242	5.46394	7.63612	7.14278
0.49544	2.85535	2.52239	3.64365	5.09103	7.17048	7.18196
0.52753	3.12014	2.80999	4.13371	5.13957	7.0653	7.32651
0.55333	3.18183	2.81062	4.052	5.03875	7.19549	7.33887
0.58218	3.5469	3.03901	4.37392	5.16021	6.85416	7.03719
0.75085	4.31947	3.7198	5.73507	6.75594	8.36001	7.47978
0.69403	3.8845	3.4377	4.87272	5.93804	7.44668	7.35282
0.84777	4.94229	4.23427	6.26673	6.89813	8.2618	7.4291
0.69366	3.84792	3.25564	4.85292	5.48557	7.22127	7.15619
0.65656	3.99024	3.69991	5.32063	5.81872	7.82996	7.21038
0.65228	3.53779	3.25697	4.76868	5.75812	7.63383	7.11078
0.48731	2.73237	2.50108	3.77136	4.93362	6.94458	7.20026
0.54788	2.5758	2.32917	3.64618	5.1382	7.18483	7.17743
0.93492	4.78698	4.11024	6.01192	6.8234	8.17165	7.29722
0.55907	3.14792	3.1229	4.7768	5.63058	7.02544	7.02597
0.54086	3.20279	2.8564	4.33981	5.2841	6.85873	6.96314
0.52343	2.86401	2.59636	4.11537	5.31003	6.99875	6.9013
0.69908	3.76327	3.4213	4.81962	5.13824	6.63129	6.70017
0.43218	2.42302	2.10584	3.15428	4.12688	6.1816	6.86504
0.69407	4.07113	3.5169	4.76588	5.24682	6.74941	6.85644
0.45367	2.79764	2.37774	3.49617	4.39029	6.36139	6.88359
0.53065	3.0504	2.63233	4.01986	5.13132	7.32507	7.11012
0.66594	4.2615	3.61395	5.07611	5.59802	7.04711	6.92248
0.46571	2.73181	2.50294	3.72342	4.6702	6.71066	6.81494
0.81354	4.53562	3.88024	5.40539	5.77428	7.18603	6.9702
0.58363	3.18547	2.98168	4.79235	5.64692	7.38851	7.04603
0.79128	4.11941	3.37634	5.09655	6.01199	7.55625	7.23079
0.70749	3.72377	3.33937	5.00193	5.67303	7.24975	6.96773
0.388	2.29429	2.21756	3.51896	4.87795	6.90047	6.94755
0.47343	2.56693	2.4745	3.7763	4.52356	6.33132	6.83576
0.73986	3.8612	3.38147	5.12059	5.93391	7.58414	7.34452
0.65514	3.35715	2.98707	4.64127	5.42023	7.15676	7.12107
0.6119	3.22521	2.79019	3.99122	4.64286	6.44829	6.62037
0.43565	2.58635	2.31477	3.35243	4.35299	6.3203	6.68755
