fc.0.weight	fc.1.weight	fc.3.weight	fc.6.weight	fc.8.weight	fc.10.weight	fc.12.weight	fc.14.weight
3.93691	0.01916	2.07659	1.16786	0.89141	0.61184	0.55283	0.21807
4.1451	0.01949	2.33015	1.55658	1.3177	0.93103	0.94144	0.45659
4.47594	0.01915	2.26514	1.18553	0.95241	0.72021	0.63921	0.23848
2.57939	0.01294	1.68004	1.21068	1.08122	0.87096	0.98896	0.43804
2.59533	0.01138	1.59959	1.18682	1.13029	0.85803	0.65698	0.25898
3.97522	0.01462	1.96346	1.26973	1.13972	0.89061	0.87175	0.41864
2.90614	0.01078	1.56714	0.99294	0.68259	0.41551	0.3593	0.13236
5.46863	0.02094	2.41546	1.16146	0.96187	0.61885	0.4609	0.20302
2.93216	0.01347	1.7398	1.12414	0.96127	0.62469	0.51086	0.22009
2.57242	0.0117	1.68761	1.06777	0.83724	0.53465	0.4687	0.21492
3.58618	0.01746	2.08451	1.22799	0.98298	0.71185	0.61141	0.29097
3.22062	0.01182	1.61282	1.04853	0.87304	0.60675	0.58711	0.29083
4.03207	0.01527	2.09802	1.16825	0.98331	0.68847	0.73888	0.24732
2.93825	0.01526	2.05985	1.3611	1.19688	0.7466	0.61776	0.22939
3.13548	0.01342	1.89371	1.07682	0.84502	0.50564	0.4461	0.18352
3.4122	0.01376	1.80373	1.16324	1.06092	0.85662	0.92099	0.41379
3.0734	0.01239	1.74811	1.20568	1.11622	0.79994	0.65269	0.31377
4.77008	0.01817	2.20948	1.25759	0.99398	0.71361	0.64569	0.25289
5.32575	0.02112	2.61827	1.44685	1.23346	0.85111	0.70872	0.29226
2.75776	0.01445	1.95893	1.40438	1.22206	0.99118	0.98607	0.46409
3.23999	0.01704	2.10387	1.32441	1.06685	0.71888	0.8263	0.4009
2.57468	0.01336	1.80534	1.21155	0.9961	0.67798	0.65221	0.28943
2.91184	0.01372	1.69024	1.05347	0.81925	0.5605	0.54255	0.21161
4.60611	0.01916	2.25411	1.33583	1.08611	0.65164	0.5357	0.19516
6.20812	0.02478	2.73213	1.49971	1.18686	0.92972	0.90347	0.44195
4.28441	0.01992	2.3957	1.37823	1.1158	0.85522	0.73114	0.36156
5.13274	0.02027	2.50567	1.4602	1.27838	0.93388	0.8046	0.33344
3.5011	0.01693	2.13048	1.35135	1.15731	0.814	0.81572	0.37959
3.05684	0.01536	1.75593	1.1578	0.92497	0.63998	0.57184	0.22878
2.12292	0.00953	1.50723	1.23138	1.20787	0.90955	0.77108	0.30399
3.85513	0.02076	2.26438	1.41593	1.3272	1.13184	1.20169	0.46107
3.27849	0.01528	1.81753	1.16778	1.02818	0.76003	0.5968	0.25164
3.07841	0.01279	1.62456	1.03423	0.87582	0.58534	0.47829	0.18464
2.18713	0.01211	1.604	1.24001	1.18613	0.88438	0.84809	0.39466
4.20058	0.01905	2.32054	1.49676	1.31237	1.0399	0.97101	0.48166
4.82303	0.02228	2.44751	1.3455	1.01172	0.68195	0.50218	0.17364
2.8407	0.01559	2.0222	1.49585	1.33354	1.09987	0.91634	0.48952
3.41375	0.01643	1.99504	1.18534	0.95489	0.74994	0.77803	0.31355
4.37298	0.01972	2.21313	1.40799	1.19533	0.91185	0.70558	0.28965
3.33709	0.01703	1.86897	1.127	0.86808	0.60815	0.61372	0.28847
4.79874	0.02288	2.45503	1.50262	1.32745	0.98217	1.11805	0.57886
2.8644	0.01574	1.91458	1.24237	1.04733	0.9143	1.05761	0.51767
2.84525	0.01372	1.72603	1.21096	1.10291	0.92034	0.80529	0.31654
3.62519	0.01736	2.17456	1.3113	1.31934	0.83383	0.79957	0.30453
3.26147	0.01743	1.91249	1.23941	1.07189	0.80685	0.76097	0.29078
3.89848	0.01976	2.18375	1.41768	1.2167	0.79988	0.81603	0.34808
3.5485	0.01871	2.23426	1.59677	1.41808	1.11325	1.02115	0.46444
2.32075	0.01326	1.66923	1.26111	1.25659	0.95015	0.76087	0.3227
4.05387	0.01905	2.11758	1.2419	0.94969	0.63806	0.5312	0.24601
5.92895	0.01967	2.45903	1.35565	1.09565	0.74673	0.62727	0.22864
3.71476	0.0173	1.97919	1.17388	0.91425	0.58328	0.4039	0.12109
3.44851	0.01819	2.04285	1.23535	1.11209	0.72498	0.68531	0.2556
2.01087	0.01267	1.56677	1.17423	1.17158	0.90633	1.00707	0.36595
3.20586	0.01537	1.85646	1.18246	0.89417	0.6202	0.57482	0.241
3.96781	0.02077	2.39521	1.57286	1.40968	1.17499	1.08756	0.49054
4.27703	0.02219	2.28403	1.22288	0.94745	0.6551	0.61287	0.2882
3.34515	0.01738	1.94039	1.11254	0.8121	0.46767	0.33904	0.10199
2.52264	0.0149	1.80729	1.22054	1.18337	0.97504	1.02558	0.39807
2.39429	0.01298	1.63739	1.17026	0.96728	0.63686	0.65764	0.30988
3.20154	0.01849	2.21826	1.59938	1.39484	1.13677	1.15203	0.53564
4.04552	0.01715	1.95615	1.20279	0.91937	0.66949	0.58269	0.29443
5.07687	0.02104	2.30085	1.27032	0.97709	0.73223	0.56702	0.17945
3.17381	0.01741	2.08581	1.36516	1.14166	0.85712	0.69369	0.2551
2.54515	0.0131	1.62291	0.94867	0.72518	0.47039	0.43655	0.22503
3.13145	0.0147	1.94632	1.32878	1.279	0.95394	1.00142	0.41147
5.67382	0.0233	2.61293	1.61932	1.69774	1.31196	1.24866	0.57991
2.98278	0.01613	1.71489	1.13033	0.87951	0.60962	0.57454	0.26453
3.17985	0.01649	1.93844	1.15929	0.96222	0.67734	0.6948	0.29576
2.8702	0.01288	1.63086	1.06413	0.89242	0.6033	0.56981	0.21898
4.61599	0.02262	2.42134	1.48644	1.34265	1.13864	1.19091	0.52886
3.62447	0.02113	2.45843	1.60413	1.29796	0.91133	0.83562	0.40742
3.9871	0.01957	2.16305	1.28908	1.1367	0.8191	0.72453	0.34763
3.49123	0.01683	1.80566	1.09311	0.89432	0.69074	0.7401	0.33029
4.31704	0.02185	2.20473	1.49065	1.44441	1.04415	0.8494	0.31959
2.86169	0.01786	2.04223	1.34466	1.17606	0.99863	0.9975	0.44185
5.17344	0.02662	2.43165	1.15331	0.81054	0.54278	0.52947	0.22138
5.0302	0.0208	2.19553	1.08579	0.77235	0.5159	0.38541	0.15231
2.92955	0.01308	1.64987	1.10133	0.84329	0.69858	0.70928	0.30908
2.62569	0.0156	1.71532	1.12519	0.90749	0.61623	0.63955	0.26366
2.51528	0.01735	1.79929	1.1718	1.0542	0.84819	0.77055	0.29854
5.51757	0.02315	2.38166	1.25142	0.97232	0.62591	0.45932	0.21645
5.96294	0.02915	2.7418	1.5323	1.28915	0.91804	0.73118	0.33705
2.00343	0.0133	1.54288	1.11693	0.93044	0.61215	0.56077	0.24094
2.42972	0.0147	1.61779	1.03951	0.88699	0.70749	0.67792	0.26383
2.803	0.01702	2.05651	1.6643	1.69294	1.34772	1.31527	0.67356
3.18583	0.01914	2.07221	1.33774	1.1895	0.85416	0.75978	0.3705
4.24148	0.02419	2.372	1.622	1.74063	1.44169	1.49362	0.62228
5.50979	0.02864	2.64614	1.51626	1.21567	1.03111	1.15884	0.45171
2.58338	0.01585	1.8931	1.29978	1.1543	0.89378	0.92951	0.45798
3.5281	0.01899	2.10086	1.28356	0.95927	0.64951	0.75261	0.3318
3.58064	0.01714	1.96089	1.21595	0.99052	0.64143	0.56929	0.25505
3.05503	0.01412	1.72506	0.99322	0.81539	0.61458	0.50735	0.2147
2.92187	0.01334	1.80407	1.13327	0.89152	0.6446	0.69541	0.32629
6.28457	0.02858	2.63821	1.37225	1.05568	0.81486	0.74008	0.3153
3.58628	0.01842	1.99044	1.2271	0.93964	0.67331	0.62948	0.29723
3.87163	0.01948	2.18388	1.47886	1.33379	1.0275	1.22718	0.61382
3.1589	0.01828	2.03301	1.39559	1.27086	0.9126	0.99785	0.51968
5.05753	0.02625	2.51892	1.45041	1.05585	0.64854	0.62895	0.29529
2.51632	0.01358	1.65709	1.11318	0.89854	0.64538	0.65697	0.23922
2.77021	0.01549	1.98846	1.30986	1.04937	0.7774	0.68513	0.2892
2.87551	0.01727	1.96365	1.38577	1.25479	0.98435	1.02056	0.57455
3.60647	0.02087	2.10126	1.399	1.28618	1.19339	1.2568	0.56513
2.90322	0.01566	1.85563	1.18659	0.91154	0.62886	0.53556	0.20605
1.99134	0.0135	1.57004	1.32245	1.18038	0.88077	0.89127	0.42325
2.23857	0.01458	1.62309	1.12233	0.97101	0.75502	0.60834	0.19677
2.47365	0.01411	1.71237	1.2412	1.11577	0.82404	0.75714	0.33778
