fc.0.weight	fc.2.weight	fc.4.weight	fc.6.weight	fc.8.weight	fc.10.weight	fc.12.weight
0.21007	0.66532	0.7398	1.19555	1.72658	2.64717	2.33495
0.24856	0.76765	0.85884	1.2769	1.85417	2.77792	2.57926
0.16519	0.47082	0.54243	0.80866	1.35043	2.379	2.37882
0.24952	0.79336	0.77481	1.06934	1.45422	2.40878	2.53041
0.22461	0.66235	0.70062	1.04224	1.69862	2.75011	2.53588
0.23099	0.6258	0.71417	1.12731	1.64998	2.49252	2.36989
0.21292	0.70029	0.75909	1.05581	1.68046	2.64607	2.396
0.33359	0.91516	0.96722	1.50545	1.95841	2.72436	2.41385
0.23217	0.81864	0.82094	1.25429	1.83668	2.70575	2.53225
0.1885	0.6734	0.80558	1.2039	1.86407	2.73317	2.52788
0.17983	0.50819	0.59669	0.97294	1.41937	2.26904	2.28891
0.25246	0.79629	0.84657	1.2406	1.66883	2.55676	2.39687
0.26901	0.91731	0.86883	1.25629	1.80606	2.80045	2.49696
0.26095	0.76474	0.71254	1.05165	1.63709	2.54044	2.35478
0.29163	0.80574	0.87797	1.27201	1.87646	2.75188	2.49334
0.22565	0.71771	0.86989	1.22019	1.78165	2.593	2.42849
0.23628	0.62805	0.71368	1.02162	1.64813	2.53323	2.42435
0.23996	0.68135	0.72167	1.03128	1.56246	2.60571	2.46486
0.35401	1.01379	1.1928	1.56306	2.11984	2.95225	2.57469
0.19389	0.57778	0.69583	1.05673	1.59918	2.58591	2.40284
0.1507	0.43597	0.52425	0.85658	1.48073	2.59331	2.54889
0.2535	0.85036	0.92121	1.25402	1.78174	2.67555	2.46448
0.33038	1.06217	1.05567	1.39383	1.87266	2.86375	2.54197
0.17151	0.56707	0.62524	1.07083	1.6368	2.58306	2.46405
0.33003	1.06111	0.9934	1.29808	1.7742	2.60225	2.51302
0.23743	0.71237	0.78866	1.07853	1.64957	2.66565	2.50585
0.26374	0.70593	0.71709	1.13461	1.77194	2.6959	2.46494
0.1801	0.6474	0.73273	1.05671	1.5507	2.71773	2.45781
0.41223	1.28614	1.16377	1.62861	2.14839	2.94733	2.54409
0.26031	0.97168	1.02606	1.50746	1.87363	2.77706	2.53875
0.24592	0.66496	0.80213	1.1931	1.63937	2.55202	2.47667
0.27469	0.82514	1.04536	1.2911	1.8693	2.84662	2.51337
0.22556	0.75526	0.9142	1.31481	1.75837	2.76715	2.58141
0.20664	0.88098	0.98402	1.37721	2.00416	3.01195	2.59685
